id,premise1,premise2,conclusion,type,new_type,type_amr_op,"Remarks (Ian)  "
3835,if something emits something else then that something increases the amount of that something else,many vehicles emit pollution into the air,many vehicles increase the amount of pollution in air,inference_from_rule,,,
3836,weathering is a kind of erosion,erosion causes deposition,weathering causes deposition,substitution,arg_substitution,,
3837,the surface of the earth contains mountains,the surface of the moon contains mountains,both the surface of the moon and the surface of the earth contain mountains,further_specification_or_conjunction,conjunction,,
3838,the ice cube will melt and change into water in hot the pan,the hot pan is a source of heat,the water from the melted ice cube in the pan is exposed to a source of heat,init,,,
3839,sweat evaporates as it absorbs heat from the body,if heat is absorbed from a source then that heat source will cool,a body is cooled by sweat absorbing heat as it evaporates,inference_from_rule,,,
3840,a process in the formation of sedimentary rock is rock being broken down and then deposited,sedimentary rocks are deposited in layers,a process in the formation of sedimentary rock is rock being broken down and then deposited in layers,further_specification_or_conjunction,further_specification,,
3841,drought is when available water decreases in an environment,plants require water to survive,drought will decrease the water plants need to survive,init,,,
3842,blue is a kind of color,a blue block is a kind of object,a blue block is an object with blue color,further_specification_or_conjunction,further_specification,,
3843,a protractor is a kind of tool,a protractor is used for measuring the angles of a triangular object,a protractor is the best tool to measure the angles of a triangular object,further_specification_or_conjunction,further_specification,,
3844,sharpening a pencil changes the shape of an object,tearing paper changes the shape of an object,sharpening a pencil and tearing paper both change the shape of the object,further_specification_or_conjunction,conjunction,,
3845,veins carry blood from the body to the heart,arteries carry blood from the heart to the body,veins and arteries carry blood throughtout the body,further_specification_or_conjunction,conjunction,,
3846,a shelter is used for living in by animals,a raccoon is a kind of animal,a shelter can be used for living in by raccoons,substitution,arg_substitution,,
3847,a potato is made of potato cells,vacuoles are the organelles that are used for storing water and food for cells,vacuoles are the organelles that store water and food for potato cells,further_specification_or_conjunction,further_specification,,
3848,bacteria break down dead organisms and returns parts of dead organisms to the soil,when something is broken down is is turned into the things it is made of,bacteria breaking down dead organisms turns those dead organisms into the things they are made of and returns it to the soil,init,,,
3849,a warm front causes the the sky to be cloudy,a warm front causes the weather to be rainy,a warm front causes cloudy and rainy weather,further_specification_or_conjunction,conjunction,,
3850,green plants are a kind of producer,green plants are a kind of plant,plants are a kind of producer,substitution,arg_substitution,,
3851,the height of a door is a measure of length from the top of the door to the bottom of the door,a meter stick is a kind of tool for measuring length,a meter stick can be used to measure the height of the door,init,,,
3852,an example of camouflage is an organism changing into the color of the environment,an animal is a kind of organism,an example of camouflage is an animal changing into the color of its environment,substitution,arg_substitution,,
3853,some environments contain leaves,a leaf is often green in color,some environments contain green leaves,further_specification_or_conjunction,further_specification,,
3854,"granite is made of quartz, feldspar, and mica","quartz, feldspar, and mica are minerals",granite is made of minerals,substitution,arg_substitution,,
3855,a mushroom is a kind of fungus,in the food chain process fungi have the role of decomposer,in the food chain process a mushroom has the role of decomposer,substitution,arg_substitution,,
3856,a forest is a kind of environment,a rainforest is a kind of forest,a rain forest is a kind of environment,substitution,arg_substitution,,
3857,shape is a property of the appearance of an object,classifying means grouping objects / materials by their properties,shape can be used to classify objects,substitution,verb_substitution,,
3858,a multicellular organism has more than one cell,a unicellular organism has one cell,the number of cells in the organism can be used to tell whether it is multicellular or unicellular,further_specification_or_conjunction,conjunction,,
3859,wind and rain cause erosion,soil erosion is when wind and moving water moves soil from fields / environments,wind and rain can cause soil erosion,further_specification_or_conjunction,further_specification,,
3860,a computer can control the body of a robot,the brain can control animal body through the nervous system,the computer in a robot and the brain in an animal both control the body of that robot / animal,further_specification_or_conjunction,conjunction,,
3861,a galaxy is held together by gravity,a galaxy is made of stars,a galaxy is made of stars that is held together by gravity,further_specification_or_conjunction,further_specification,,
3862,galaxies often contain hundreds of billions of stars,a galaxy is a kind of structure,galaxies are the structure that contain hundreds of billions of stars,further_specification_or_conjunction,further_specification,,
3863,photosynthesis is a kind of process in which plants convert carbon dioxide and water and sunlight into carbohydrates and food and oxygen,"if a plant performs a process that converts something into something else, then that plant requires that something for that process",a plant requires sunlight for photosynthesis,inference_from_rule,,,
3864,if something is a source of something else then that something else comes from that something,the sun is the source of energy for life on earth,energy on earth comes from the sun,inference_from_rule,,,
3865,chocolate in solid state will have definite shape,melted chocolate will have variable shape,the shape of the chocolate changes when the chocolate melts,init,,,
3866,rate is a kind of measure of speed,to slow / to slow down decreases speed,to slow / to slow down decreases the rate of something,substitution,,,
3867,absorbing energy causes objects / materials / substances to heat,solar energy is a kind of energy,absorbing solar energy causes objects to heat,substitution,arg_substitution,,
3868,cooking food requires adding heat energy to the food,the soup is cooking on the stove,heat energy is added to the soup,init,,,
3869,an amoeba can change its shape,a paramecium cannot change its shape,an amoeba can change its shape but a paramecium cannot change its shape,further_specification_or_conjunction,conjunction,,
3870,if something is a source of something else then that something usually contains that something else,food is a source of energy for living things,food contains energy for living things,inference_from_rule,,,
3871,blue is a kind of color,eye color is an inherited characteristic,blue eyes are inherited characteristic,substitution,arg_substitution,,
3872,a leaf is a part of a green plant,a leaf absorbs sunlight to perform photosynthesis,a plant absorbs sunlight with its leaves to perform photosynthesis,further_specification_or_conjunction,further_specification,,
3873,flowers use fragrance to attract pollinators,increasing the amount of something used by an organism to perform a process increases that organism's ability to perform that process,"as the amount of fragrance of a flower increases , the number of pollinators it will attract increases",init,if_then,,
3874,electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength / frequency,light is a kind of electromagnetic radiation,light is arranged in the electromagnetic spectrum by wavelength and frequency,substitution,arg_substitution,,
3875,insects can have a positive impact on humans by pollinating crops,some crops are flowering plants,insects can have a positive impact on humans by pollinating flowering plants,substitution,,,
3876,some birds are difficult to distinguish from leaves,difficult to distinguish can mean difficult to see in something else,some birds are difficult to see in leaves,substitution,verb_substitution,,
3877,a carbohydrate is a kind of compound,carbohydrates store chemical energy,carbohydrates are a kind of compound that store chemical energy,further_specification_or_conjunction,further_specification,,
3878,a physicist studies energy and its relationship to simple machines,a physicist is a kind of scientist,a physicist is the scientist who study the relationship between simple machines and energy,further_specification_or_conjunction,further_specification,,
3879,heat can cause a solid substance to melt,an ice cube is a kind of solid,heat can cause the ice cube to melt,substitution,,,
3880,the digestive system absorbs nutrients into the circulatory system through the blood stream,the circulatory system transports blood throughout the body,the circulatory system carries nutrients from the digestive systems to the rest of the body,init,,,
3881,different solids are combined physically,"if solids are combined physically , then the physical properties of the solids will stay the same",different solids will have the same physical properties,inference_from_rule,,,
3882,"the speed of an object can be measured using a meter stick, stopwatch, and calculator",a toy car is a kind of object,"the speed of a car can be measured using a meter stick, stopwatch, and calculator",substitution,arg_substitution,,
3883,harming an organism can cause that organism to die,fire causes harm to organisms,fire can cause organisms to die,substitution,,,
3884,consumers are a part of an ecosystem,if something is important to a part of a thing then that something is important to that whole thing,if something is important to consumers then that something is important to an ecosystem,substitution,,,
3885,coal and oil are kinds of fossil fuels,gas is a kind of fossil fuel,coal and oil and gas are kinds of fossil fuels,further_specification_or_conjunction,conjunction,,
3886,producers release oxygen,oxygen is a kind of gas,oxygen is a kind of gas that is released by producers,further_specification_or_conjunction,further_specification,,
3887,the metal on the roof of a car is in contact with oxygen and water vapor,metal in contact with water and oxygen will rust,the metal on the roof of a car rusts,substitution,,,
3888,a cow is a kind of animal,an animal is a kind of living thing,a cow is a kind of living thing,substitution,arg_substitution,,
3889,absorbing solar energy causes continental land masses to heat,if continental land masses are heated then the earth will be heated,continental land masses absorbing solar energy causes the earth to heat,inference_from_rule,,,
3890,the ocean at the equator will receive more direct sunlight than the ocean at the poles,"if something receives sunlight, it will absorb the sunlight",the ocean at the equator will abosrb more direct sunlight than the ocean at the poles,inference_from_rule,,,
3891,if too much water is pumped from a well then the water in that aquifer may become used up,excessive means too much in quantity,excessive pumping from wells may cause the water in that aquifer to become used up,inference_from_rule,,,
3892,ionizing radiation is harmful to human skin,ultraviolet radiation is ionizing,ultraviolet radiation is harmful to human skin,substitution,,,
3893,a polar bear exhibit should contain a cold environment,a cold pool is a kind of cold environment,a polar bear exhibit should contain a cold pool,substitution,arg_substitution,,
3894,flooding decreases the availability of food,a living thing requires food for survival,flooding can decrease the availability of food required by living things for survival,further_specification_or_conjunction,further_specification,,
3895,exposure to intense heat and pressure changes the material of earth's crust into metamorphic rock,two tectonic plates pushing toward each other cause intense heat and pressure in earth's crust,two tectonic plates pushing toward each other changes the earth's crust material into metamorphic rock,init,substitution,,
3896,dead organisms are a source of disease,"as the amount of a source of something decreases , the amount of that something will decrease","as the amount of dead organisms decreases, the amount of disease will decrease",substitution,,,
3897,electrons are a part of an atom,a electron has a negative -1 electric charge,electrons are part of an atom that has negative charge,further_specification_or_conjunction,further_specification,,
3898,animals have negative impact on cacti,if something has a negative impact on an organism then that organism must protect itself from that something,a cactus must protect itself from animals,inference_from_rule,,,
3899,arteries and veins in animals and special tissues in plants both perform the function of transporting food / water / minerals trhoughout the body / plant,if two things perform the same function then those two things are similar,special tissues in plants are similar to arteries and veins in animals,inference_from_rule,,,
3900,evolution causes  significant trait changes over a long period of time,recent geological history means a relatively short period of time,if an animal evolved from another animal in recent geological history then the changes in traits will be less significant,init,if_then,,
3901,living things all require energy for survival,if something requires something else then that something requires a source of that something else,living things all require a source of energy for survival,inference_from_rule,,,
3902,if an animal is eliminated then the population of that animal will decrease,as the population of snakes / rats / rabbits decreases the population of hawks will decrease,if snakes / rats / rabbits are eliminated then the population of hawks will decrease,init,,,
3903,roots are a vehicle for absorbing water and nutrients from soil into the plant,if something is a vehicle for a process then that something performs that process,roots absorb water and nutrients from the soil,inference_from_rule,,,
3904,water condensing means water vapor changes from a gas into a liquid by decreasing heat energy,dew is formed when water vapor condenses over night,dew forming is an example of water vapor condensing,init,example,,
3905,sedimentary rock is a kind of rock,sedimentary rocks are formed in layers,sedimentary rock is a kind of rock with layers,further_specification_or_conjunction,further_specification,,
3906,inheriting is when an inherited characteristic from parent to offspring,sound of voice is an inherited characteristic,offspring can inherit the sound of voice from their parents,substitution,,,
3907,living things require respiration to use energy,if something is required to use something else then that something is a source of that something else,respiration is a source of energy for living things,inference_from_rule,,,
3908,leaves are ideal for absorbing sunlight,a leaf is a part of a green plant,a leaf is a part of a green plant that is ideal for absorbing sunlight,further_specification_or_conjunction,further_specification,,
3909,earthquakes causes older rock to be on top of younger rock,earthquakes cause rock layers to fold on top of each other,earthquakes causes older rock layers to be on top of younger rock layers by folding the rock layers,further_specification_or_conjunction,further_specification,,
3910,an atom has an atomic number of 20,atomic number is used to describe the proton number of an atom,the atom has 20 protons,init,,,
3911,"as the number of pollinators attracted to  a plant increases , the ability of that plant to reproduce will increase",increasing a plant's ability to reproduce has a positive impact on that plant,increasing the number of pollinators attracted to a plant has a positive impact on that plant,inference_from_rule,,,
3912,a plant can produce its own food but an animal can not produce its own food,if one thing can do something but another thing can not do that something then those two things are different,plants and animals are different because a plant can produce its own food but an animal can not produce its own food,inference_from_rule,,,
3913,rain is a kind of precipitation,collection in water cycle is when precipitation is collected in bodies of water,rain being collected in bodies of water is an example of collection in water cycle,init,example,,
3914,the core of an atom is made of protons and neutrons,electrons surround the core of an atom,an atom is made of a core of protons and neutrons surrounded by electrons,further_specification_or_conjunction,further_specification,,
3915,a plant uses sunlight to perform photosynthesis,"photosynthesis makes food for the plant by converting carbon dioxide, water, and sunlight into carbohydrates",a plant uses sunlight to make food for itself,substitution,,,
3916,iron and aluminum are kinds of metal,rocks often contain large amounts of metal,rocks may contain large amounts of iron and aluminum,substitution,arg_substitution,,
3917,a pan is a kind of object,a burner is a kind of object / surface,a pan and a burner are kinds of objects,further_specification_or_conjunction,further_specification,,
3918,a drought can cause animals that live in ponds to die,a frog is a kind of animal that lives in ponds,a drought can cause frogs to die,substitution,arg_substitution,,
3919,studying rock formations can mean studying the history and processes of earth,structural geologists study rock formations,structural geologists study the history and processes of earth,substitution,,,
3920,a plant must get energy from sunlight for survival,grass is a kind of green plant,grass must get energy from sunlight for survival,substitution,arg_substitution,,
3921,the shape of body parts is an inherited characteristic,a nose is a part of a body,nose shape is a kind of inherited characteristic,substitution,,,
3922,"the larger and animal's fin is, the more water it can push against","the more water an animal's fin pushes against, the faster that animal will move through water","the larger an animal's fin is, the faster it can move through water",init,,,
3923,to have an attached earlobe requires the human to have both recessive genes,a homozygous recessive organism contains only recessive genes,to have an attached earlobe requires the human to be homozygous recessive,substitution,,,
3924,water evaporating means water changes from a liquid into a gas by increasing heat energy,a puddle is a kind of body of water,the water in the puddles changes from a liquid to gas when evaporating,init,,,
3925,cold environments have cold weather / temperatures,climate is the usual kind of weather in a location over a period of time,a cold environment means a cold climate,init,,,
3926,sodium and chlorine are two elements,sodium chloride is made of chlorine and sodium chemically combined,sodium chloride is made of two elements chlorine and sodium chemically combined,further_specification_or_conjunction,further_specification,,
3927,muscular movement helps animals move,moving a part of something helps that something move,muscular movement moves a part of animals to help them move,substitution,verb_substitution,,
3928,leaves of plant make food by performing photosynthesis,a plant is missing leaves,the plant will make less food,init,,,
3929,a reflector is used to reflect light especially on vehicles,light shines on a bicycle's reflector,the light will be reflected from the reflector,init,,,
3930,a wolf is a kind of animal,fur is often part of an animal,fur is often a part of a wolf,substitution,arg_substitution,,
3931,heating food for a short time can kill the bacteria inside,"if the bacteria in food are killed , then the food will be stored longer",heating food for a short time can help store foods for longer,inference_from_rule,,,
3932,the student observes a new moon phase on feburary 21,a moon phase occurs 28 days after the last time it occurred,the next new moon will occur 28 days after feburary 21,init,,,
3933,cold temperatures are a property of an environment that have a negative impact on organisms,if the properties of an environment have a negative impact on organisms then that environment will contain few organisms,cold environments contain few organisms,inference_from_rule,,,
3934,different species of organisms will have different inherited characteristics in size,genes are able to determine the inherited characteristics of a living thing,different species of organisms have different genes determining the size,substitution,,,
3935,meiosis produces cells that are different from the parent cell,mitosis produces cells that are identical to the parent cell,mitosis produces cells that are identical to the parent cell and meiosis produces cells that are different from the parent cell,further_specification_or_conjunction,conjunction,,
3936,a heterozygous organism contains one dominant gene and one recessive gene,a tay-sachs disease carrier have one dominant and one recessive tay-sachs gene,a tay-sachs disease carrier is heterozygous,infer_class_from_properties,,,
3937,bears eating berries that contain seeds has a positive impact on plants by causing seed dispersal,seed dispersal is when the seeds of a plant are moved / are carried / are spread / are dropped / from the parent plant to another area / new environment,bears eating berries that contain seeds has a positive impact on plants by spreading those seeds,substitution,,,
3938,a butterfly is a kind of insect,metamorphosis is when an insect changes from an immature form to an adult form,metamorphosis is when a butterfly changes from an immature form to an adult form,substitution,arg_substitution,,
3939,frame construction is a kind of industry,if an industry requires a resource then that industry predominates in areas with an abundance of that resource,if frame construction requires a resource then frame construction predominates in areas with an abundance of that resource,substitution,,,
3940,distortion of the radio waves causes a buzzing sound,electromagnetic radiation distorts the frequency of the radio waves,electromagnetic radiation causes a buzzing sound by distorting the frequency of the radio waves,further_specification_or_conjunction,further_specification,,
3941,an example of managing the number of trees in a forest is replacing those trees,a tree can be replaced by planting a new tree each time one is cut down,an example of managing the number of trees in a forest is replacing trees by planting a new tree each time one is cut down,further_specification_or_conjunction,further_specification,,
3942,sense is a kind of characteristic of an animal,smell is a kind of sense,smell is a kind of characteristic of some animals,substitution,arg_substitution,,
3943,the sun is made of gases and hot in temperature,the sun is the largest celestial body in the solar system,"the sun is made of gases, hot in temperature, and the largest celestial body in the solar system",further_specification_or_conjunction,conjunction,,
3944,the respiratory system transfers oxygen to the circulatory system,to transfer something somewhere can mean to bring something somewhere,the respiratory system brings oxygen to the circulatory system,substitution,verb_substitution,,
3945,decaying plants help in the formation of fossil fuels,the plants that formed fossil fuels are prehistoric,prehistoric decaying plants help in the formation of fossil fuels,further_specification_or_conjunction,further_specification,,
3946,the solar energy radiated by the ground can warm up air,if air is heated then air will rise,the solar energy radiated by the ground can cause the air to rise,inference_from_rule,,,
3947,"a leaf converts carbon dioxide, water, and sunlight into carbohydrates",sunlight is a kind of light,"a leaf converts carbon dioxide, water, and light into carbohydrates",substitution,arg_substitution,,
3948,adapting is when an animal responds to a change in an environment,a storm changes an environment,a storm causes animals in an environment to adapt,init,,,
3949,the fold observed in layers of sedimentary rock is caused by the covergence of crustal plates,if something is caused by something else then that something resulted from that something else,the fold observed in layers of sedimentary rock resulted from the covergence of crustal plates,inference_from_rule,,,
3950,an organism and its offspring are part of different generations,an organism passsing its traits to its offspring is a kind of process,an organism passing its traits to its offspring is a kind of process that involves organisms from different generations,further_specification_or_conjunction,further_specification,,
3951,large fins can be used to move quickly through water,some predators move quickly to catch prey,large fins can be used to move quickly through water in order to catch prey,further_specification_or_conjunction,further_specification,,
3952,a fish does not have fur,fish is a kind of taxonomic group of animals,animals in the taxonomic group fish do not have fur,init,,,
3953,a consumer requires nutrients from producers which require nutrients from soil,if something requires something else then that something else is important to that something,nutrients in soil are important to producers which are important to consumers,inference_from_rule,,,
3954,skidding is when the tire of a vehicle slides on the road without rotating,if somethings slides on something else then that something is moving against that something else,skidding is when the tire of a vehicle moves against the road without rotating,inference_from_rule,,,
3955,removing something is a kind of effect,if something affects a part of something else then that something affects that something else,removing a part of something affects that something,inference_from_rule,,,
3956,animals are kinds of organisms that are part of the biological kingdom animalia,an animal is a kind of eukaryote,the organisms in the kingdom animalia are eukaryotes,substitution,,,
3957,yearly water usage in the usa is a kind of data over time,a line graph is used for showing change / data over time,a line graph can be used to show yearly water usage in the usa,substitution,,,
3958,a thunderstorm can cause bodies of water to flood,a stream is a kind of moving body of water,a thunderstorm can cause a stream to flood,substitution,arg_substitution,,
3959,chemical reactions do not cause the total number of atoms to change,photosynthesis is a kind of chemical reaction,the total number of atoms stay the same in chemical reaction,init,one_premise_only,,
3960,the mechanical energy of the moving car will be decreased by friction to 0,"if an object has 0 mechanical energy, then the object will stop moving",the car will stop when the mechanical energy in it is decreased by friction to 0,inference_from_rule,,,
3961,metamorphic rocks can be formed by sedimentary rocks being subjected to extreme heat and pressure,limestone is a kind of sedimentary rock,metamorphic rocks can be formed by limestone being subjected to extreme heat and pressure,substitution,arg_substitution,,
3962,decreasing something negative has a positive impact on a thing,illness has a negative impact on an organism 's health,decreasing illness has a positive impact on an organism's health,substitution,,,
3963,photosynthesis means plants convert carbon dioxide and water and sunlight into carbohydrates and food and oxygen,if a plant uses photosynthesis to convert something into something else then that something is used for photosynthesis,a plant uses sunlight for photosynthesis,inference_from_rule,,,
3964,metal is a nonrenewable resource,copper is a kind of metal,copper is a kind of nonrenewable resource,substitution,arg_substitution,,
3965,a person puts a basket on a scale and the scale reads 2 kilograms,kilograms kg are a metric / si unit used for measuring weight,the person is measuring the weight of the basket,init,,,
3966,things are distinguishable by their features,a bird and a mammal are both kinds of things,mammals and birds are distinguishable by their features,substitution,arg_substitution,,
3967,dead organisms are the source of food for decomposers,if an object is a source of something for something else then that something else can obtain that something from that object,decomposers obtain food from dead organisms,inference_from_rule,,,
3968,a neutron has a neutral electric charge,a proton has a positive 1 electric charge,protons and neutrons together will be positive in charge,init,further_inference,,
3969,volvox is a bi-flagellate autotroph,volvox is a kind of protist,volvox is a protist that is a bi-flagellate autotroph,further_specification_or_conjunction,further_specification,,
3970,"the lower the ph level of a substance, the stronger acid the substance is",acid is 0 to 6 in ph level which makes it acidic,an acid with a ph of 3 is a strong acid,inference_from_rule,,,
3971,protecting a living thing has a positive impact on that living thing 's survival / health,negative impact is the opposite of positive impact,if something has a negative impact on a living thing then that something is not protecting that living thing,init,if_then,,
3972,humans changing ecosystems usually has a negative impact on an ecosystem / organisms living in an ecosystem,humans building homes in an ecosystem causes that ecosystem to change,humans building homes in an ecosystem has a negative impact on an ecosystem and organisms living in the ecosystem,substitution,,,
3973,photosynthesis means green plants convert solar energy and raw materials into food and oxygen,green plants provide food for themselves / animals / consumers by performing photosynthesis,green plants convert solar energy and raw materials into food,init,one_premise_only,,
3974,the cell nucleus is a kind of organelle that controls many of the functions of the cell,special molecules carry messages from the cell membrane to the cell nucleus,special molecules carry messages from the rest of the cell to the organelle that controls the cell,init,,,
3975,an ice cube is a kind of solid,a solid is a kind of substance,an ice cube is a kind of solid substance,further_specification_or_conjunction,further_specification,,
3976,the convergence of tectonic plates causes the order of layers in sedimentary rock to change by compressing the layers into faults and folds,a fold is observed in layers of sedimentary rock,the fold observed in layers of sedimentary rock is caused by the convergence of tectonic plates,init,,,
3977,an organism passing its traits to its offspring is a kind of process that involves organisms from different generations,processes that involve organisms from different generations take place over a period of at least 1 to many generations,the process of an organism passing traits to offspring occurs over a period of at least 1 generation to many generations,further_specification_or_conjunction,further_specification,,
3978,increasing sunlight will increase a producer's ability to provide food,summer has the most sunlight,producers provide the most food during summer,init,,,
3979,the shell of an animal is used to protect the animal,a snail is a kind of animal that has a shell,a shell is a part of a snail for protecting the snail,substitution,,,
3980,animals must move to a warmer environment during the winter,migration is when animals move themselves from a cooler climate to a warmer climate for the winter,an example of migration is moving to a warmer climate in the winter,init,example,,
3981,iron is a kind of metal,nails are often made of iron,nails are made of metal,substitution,arg_substitution,,
3982,amount of water in a body of water increases by ice caps melting,"as the amount of water in a body of water increases , the water levels will rise / increase especially at the edge of that body of water",ice caps melting causes the water levels of bodies of water to rise,inference_from_rule,,,
3983,fungi have no chlorophyll,fungi can be multicellular,fungi have no chlorophyll and fungi can be multicellular,further_specification_or_conjunction,conjunction,,
3984,oxygen must be provided to animals in order for them to breathe / survive,carbon dioxide must be removed from an environment where animals are performing respiration,"in an environment where animals are breathing / performing respiration, oxygen must be provided and carbon dioxide must be removed",further_specification_or_conjunction,conjunction,,
3985,poisonous things can cause harm to organisms,harming an organism can cause that organism to die,poisonous things can cause organisms to die,substitution,,,
3986,a tree is a kind of organism,if a tree falls then that tree is dead,a fallen tree is a kind of dead organism,inference_from_rule,,,
3987,telescopes allow the detailed observation of celestial objects,a planet is a kind of celestial object / celestial body,telescopes allow the detailed observation of planets,substitution,arg_substitution,,
3988,the moon is less bright than the sun,looking at bright objects has a negative impact on the eyes,looking at the moon has less of a negative impact on the eyes,init,,,
3989,matter in the liquid phase has definite volume,"if something has a definite volume , then its volume will not change when transferred into a different container",liquid sample will retain its volume when transferredn to a different container,inference_from_rule,,,
3990,sugar is a kind of food,"photosynthesis is a source of food for the plant by converting carbon dioxide, water, and sunlight into carbohydrates",photosynthesis is a source of sugar for plants,init,,,
3991,an instinctive behavior is a kind of behavioral adaptation,migrating is an instinctive behavior,migration is a kind of behavioral adaptation,substitution,arg_substitution,,
3992,"as the gradient of a stream increases, the stream deposition of materials will decrease",gradient is a property of a stream,the gradient of a stream will affect the stream deposition,inference_from_rule,,,
3993,moving a coil of wire in the magnetic field generates electrical current,a metal loop is similar to a coil of wire,moving a metal loop in the magnetic field generates electrical current,substitution,arg_substitution,,
3994,mercury is a metal that is liquid at room temperature,metals are usually solid at room temperature,mercury is different from other metals,init,,,
3995,producing large quantities of milk is an inherited trait for cows,inherited trait is a kind of genetic trait,producing large quantities of milk in a genetic trait for cows,substitution,arg_substitution,,
3996,granite is a kind of rock that forms from cooling magma,igneous rock is a kind of rock that is formed from magma cooling,granite is a kind of igneous rock,substitution,,,
3997,a thunderstorm is a source of rain,cold fronts cause thunderstorms as they pass by,cold fronts can cause thudnerstorms of rain as they pass by,further_specification_or_conjunction,further_specification,,
3998,"if a spoon is used to stir a liquid, then the spoon is exposed to the liquid",soup is a kind of liquid,"if a spoon is used to stir soup, the the spoon is exposed to the soup",substitution,,,
3999,"when an animal moves , chemical energy is converted to mechanical energy",a human is a kind of animal,"when a human moves, chemical energy is converted to mechanical energy",substitution,arg_substitution,,
4000,seed dispersal has a positive impact on a plant / a plant 's reproduction,if something has a positive impact on something else then that something helps that something else,seed dispersal helps a plant reproduce,inference_from_rule,,,
4001,sleeping bags are designed to keep people warm,insulated material can be used for keeping warm,sleeping bags usually are made of insulated materials,infer_class_from_properties,,,
4002,living things dying increases the amount of those living things that are dead,a fish is a kind of living thing,fish dying increases the amount of fish that are dead,substitution,,,
4003,a quartzite is a kind of metamorphic rock,sandstone is a kind of sedimentary rock,sandstone is a kind of sedimentary rock and quartzite is a kind of metamorphic rock,further_specification_or_conjunction,further_specification,,
4004,a canyon wall is a kind of surface,echo is when sound reflects off of a surface,sound can reflect off the canyon wall and produce an echo,substitution,,,
4005,green plants provide food for themselves / animals / consumers by performing photosynthesis,a source of something provides that something,green plants are a source of food for animals,substitution,verb_substitution,,
4006,predators usually need to be as fast as their prey to catch their prey,some animals move quickly to escape predators,animals that can move quickly will be able to escape a predator,init,,,
4007,the circulatory system carries nutrients from the digestive systems to the whole body,veins / arteries are a part of the circulatory system,arteries / veins transport nutrients to the whole body,substitution,,,
4008,light can travel through an opening,sunlight is a kind of light,sunlight can travel through an opening,substitution,arg_substitution,,
4009,animals in the taxonomic groups fish and amphibian do not have fur,animals in the taxonomic groups bird and reptile do not have fur,animals in the taxonomic groups fish and amphibian and bird and reptile do not have fur,further_specification_or_conjunction,conjunction,,
4010,soil is usually part of an environment,soil is a kind of nonliving thing,soil is a nonliving part of an environment,further_specification_or_conjunction,further_specification,,
4011,animals must move to a warmer environment in the winter,migration is when animals move themselves from a cooler climate to a warmer climate for the winter,an example of migration is moving to a warmer climate in the winter,init,example,,
4012,a tricep contracting and a bicep relaxing are kinds of muscular movement,muscular movement helps animals move,a tricep contracting and a bicep relaxing helps animals move,substitution,arg_substitution,,
4013,a plant requires nutrients for survival,soil provides nutrients for plants,plants require nutrients in soil for survival,further_specification_or_conjunction,further_specification,,
4014,earthworms create tunnels in soil,tunnels in soil loosen that soil,earthworm can help loosen the soil by creating tunnels,further_specification_or_conjunction,further_specification,,
4015,all waves transmit energy from one place to another,an earthquake wave is a kind of wave,earthquake waves transmit energy from one place to another,substitution,arg_substitution,,
4016,oxygen is a kind of gas that consumers take in for survival,oxygen is a kind of gas that is released by producers,oxygen is a kind of gas that is released by producers and taken in by consumers,further_specification_or_conjunction,conjunction,,
4017,if a living thing requires something then that something has a positive impact on that living thing,a living things require water for survival,water has a positive impact on a living thing's survival,inference_from_rule,,,
4018,planting legumes increases the amount of nitrogen in soil,high quality / rich / good soil has a high amount of nitrogen,planting legumes increases the quality of soil,substitution,,,
4019,a telescope can be used for observing venus,venus has moon-like phases,a telescope can be used to observe the moon-like phases of venus,further_specification_or_conjunction,further_specification,,
4020,if something becomes less available then the amount of that something that is available decreases,if more farm land is used then less farm land will be available,if more farm land is used then the amount of available farm land will decrease,init,if_then,,
4021,surface mining removes the vegetation above the coal,vegetation is a part of the biosphere,surface mining removes a part of the biosphere,substitution,,,
4022,genes is a vehicle for passing inherited characteristics from parent to offspring,offspring receive genes from their parents through sexual reproduction,offspring receive genes for inherited characteristics from parents through sexual reproduction,further_specification_or_conjunction,further_specification,,
4023,liter and quart are both unit used for measuring volume,1 liter is equal to 106 quarts,the difference between liter and quart for measuring volume is small,init,,,
4024,the law of superposition can be used to determine the relative age of part of a rock,sedimentary rock is a kind of rock,the law of superposition can be used to determine the relative age of a part of sedimentary rock,substitution,arg_substitution,,
4025,friction causes an object to heat,oil is used to decrease the friction among parts in the car engine,oil can be used to decrease the heat among parts in the car engine produced by friction,further_specification_or_conjunction,further_specification,,
4026,large leaves have a positive impact on a plant's survival by increasing that plant's ability to absorb sunlight,an adaptation / an ability has a positive impact on an animal 's / living thing 's survival / health / ability to reproduce,large leaves are a kind of adaptation for absorbing sunlight,infer_class_from_properties,,,
4027,sand will remain as solid particles in water,salt will dissolve in water,adding water to salt and sand will produce a mixture of liquid and solid particles,further_specification_or_conjunction,conjunction,,
4028,a balance is used for measuring mass of a substance,sand is a kind of substance,a balance can be used for measure the mass of sand,substitution,arg_substitution,,
4029,transverse waves cause objects to move perpendicular to the direction of the wave,a particle is a kind of object,transverse waves cause particles to move perpendicular to the direction of the wave,substitution,arg_substitution,,
